       amp   g0_base   g0_bit8   u4_base   u4_bit8    g0_delta    u4_delta
     100.0      1045      1597       454      2041         552        1587
     138.2      1049      1597       326      2033         548        1707
     191.0      1053      1597       198      2041         544        1843
     263.9      1057      1597        70      2035         540        1965
     364.7      1057      1597       507      2033         540        1526
     504.0      1061      1597       454      1981         536        1527
     696.4      1065      1597       326      1945         532        1619
     962.4      1069      1597       198      1987         528        1789
    1330.0      1073      1597        70      1963         524        1893
    1837.9      1585      1597      2043      1970          12         -73
    2539.8      1589      1597      1862      1973           8         111
    3509.8      1593      1597      1787      1924           4         137
    4850.3      1593      1597      1990      1933           4         -57
    6702.7      1597      1597      1787      1973           0         186
    9262.5      1597      1597      2043      1967           0         -76
   12800.0      1597      1596      1990      2036          -1          46
