frame_idx	omega0	b0_extracted	u0	u1	u2	u3	u4	u5	u6	u7	chip_g0	chip_g1	chip_g2	chip_u4	chip_u5	chip_u6	chip_c7
0	0.308377	1	29	3465	835	3959	213	1689	505	2	1025	1194	414	53	979	1802	27
1	0.051981	202	3231	445	857	1400	2043	1621	104	68	2906	3557	2925	380	1778	1101	87
2	0.129885	57	926	1988	762	1867	1679	1698	1572	34	1049	2991	3022	268	1420	233	51
3	0.122898	63	989	1413	1535	687	1676	37	968	126	2010	3799	1525	257	1455	446	110
4	0.277710	6	92	2001	3754	1118	50	735	1969	124	1050	765	1487	344	1588	277	91
5	0.129217	58	926	2004	696	3996	1413	1527	1078	28	1049	847	2984	147	1699	1252	95
6	0.140015	50	796	3510	686	3209	1423	717	160	84	3417	3262	3500	96	1526	308	123
7	0.112451	72	1181	1639	3787	104	1422	1741	404	64	2330	3814	2343	188	1021	374	3
8	0.308377	1	28	2395	2561	927	114	1377	1830	34	2457	1254	132	178	1374	1392	68
9	0.123502	62	989	3923	3612	1530	1154	559	1903	60	1049	2923	607	178	355	1819	55
10	0.300991	2	28	1387	2356	2417	84	692	929	84	1050	3146	3717	75	204	763	91
11	0.051239	206	3287	1020	427	4075	2047	1848	1751	76	2325	703	825	373	1757	1856	40
12	0.128556	58	926	1748	3770	2682	1152	1961	873	20	1046	2022	2362	86	892	749	39
13	0.308377	1	21	3968	67	4071	205	1557	437	98	1046	767	521	199	1275	1796	87
14	0.160593	39	599	1996	3027	1125	1040	1037	123	126	1041	3389	3167	392	1259	1237	87
15	0.308377	1	21	3466	299	2389	181	120	276	82	1041	3883	1762	204	460	777	11
16	0.283986	5	87	944	19	971	59	740	1804	90	1042	686	417	300	1307	1258	103
17	0.308377	1	21	190	1958	2449	71	220	1729	58	1040	3921	2445	125	1868	266	91
18	0.297429	3	21	3716	211	3742	171	1781	1703	118	1038	2407	3763	436	699	741	127
19	0.287231	4	86	583	1279	3897	39	1393	885	88	1041	1684	2397	228	1060	757	23
20	0.287231	4	87	944	2057	2068	39	1270	623	64	1041	3451	3806	45	163	1270	103
21	0.124728	61	981	4024	3419	1242	1028	558	645	50	1038	1217	2138	459	627	1194	87
22	0.121708	64	1045	3971	2393	175	1026	1842	1050	8	1042	1279	3878	332	836	1814	11
23	0.308377	1	21	2456	835	1983	134	1221	126	66	1038	1478	675	418	636	746	87
24	0.308377	1	21	2580	766	1261	255	138	1434	106	1037	1786	3973	500	627	1277	103
25	0.180163	30	487	3900	3126	2179	1077	553	585	84	2596	1292	2119	317	121	904	72
26	0.154663	42	679	3984	703	3505	1028	1403	1162	108	1575	3316	2620	377	1992	1719	100
27	0.138472	51	797	3901	3840	1990	1541	1706	496	38	1690	4059	2698	3	813	316	37
28	0.166995	36	598	2040	317	259	1054	2026	207	112	1813	1405	1494	426	1341	699	100
29	0.066226	150	2388	3998	1323	4050	2047	1556	624	44	1425	3353	3421	458	1763	1118	42
30	0.060488	168	2711	3364	1858	3962	2047	2005	1988	32	3473	3452	3930	211	441	411	20
31	0.283986	5	87	644	1498	866	320	412	1414	122	1041	3266	2364	370	756	273	27
32	0.070499	139	2199	4011	2097	4043	1917	1859	378	102	1041	1343	3723	136	612	1785	35
33	0.066931	148	2389	1615	1773	3377	2029	1539	864	32	2450	1882	2629	25	1309	681	40
34	0.308377	1	36	3907	2090	329	153	83	1499	34	1037	801	2146	498	1836	234	103
35	0.168112	35	559	3942	154	3126	1041	1433	185	126	1445	223	2879	424	1980	1674	96
36	0.054107	193	3117	4071	82	3038	2037	1500	2043	90	1519	2720	473	255	107	211	25
37	0.054815	190	3053	1166	1900	2829	2047	368	554	52	1522	2898	3862	84	435	1694	98
38	0.084765	109	1774	3354	1520	3353	2045	292	1484	106	1455	1278	886	152	1435	1697	101
39	0.176370	32	565	1875	892	3372	1879	987	772	32	1390	3017	3009	343	307	1169	2
40	0.091226	98	1580	3781	3764	816	2034	1343	1000	124	1326	2789	1483	397	1195	1878	89
41	0.094662	93	1517	1307	3553	341	2027	287	1317	82	1265	3052	1627	21	83	1798	29
42	0.195586	25	436	4068	3660	3599	2009	1333	1496	90	1199	1481	1362	356	188	771	111
43	0.185481	28	495	3840	4049	1342	1551	54	1977	48	1193	1448	3462	477	372	760	95
44	0.188260	27	413	3941	23	2412	1076	1875	1185	102	1182	1730	3883	303	1427	1817	41
45	0.188260	27	415	3595	636	2682	1071	1889	31	110	1241	2722	269	108	580	262	76
46	0.192588	26	418	2492	989	1689	51	582	107	68	1178	1778	2865	1236	1148	822	58
47	0.169244	35	551	3521	736	3411	1033	1002	884	118	1056	735	2451	463	1235	264	75
