# Annex G (Quantization Tables for Higher Order Coefficients), TIA-102.BABA-1 -- the 2009
# half-rate AMBE+2 addendum. b7 -> a 4-dimensional codeword vector (H3,1..H3,4). 16 entries
# (b7 0-15, 4-bit index), completeness-verified before being trusted -- see
# ambe/AMBE_PLUS_2_NOTES.md for the real methodology and structural context. Sibling files
# half_rate_higher_order_b5/b6/b8.csv cover the other three coefficient groups this same annex
# defines.
# Reference data only: AMBE+2 (DMR / Yaesu System Fusion) is NOT implemented in this codebase,
# pending patent clearance -- see AMBE_PLUS_2_NOTES.md and
# docs/proposals/AMBE_CODEC_AND_DSTAR_IMPLEMENTATION_PLAN.md.
b7,H3_1,H3_2,H3_3,H3_4
0,0.182478,0.271794,-0.057639,0.026115
1,0.110795,0.092854,0.078125,-0.082726
2,0.057964,0.000833,0.176048,0.135404
3,-0.027315,0.098668,-0.065801,0.116421
4,-0.222796,0.062967,0.201740,-0.089975
5,-0.193571,0.309225,-0.014101,-0.034574
6,-0.389053,-0.181476,0.107682,0.050169
7,-0.345604,0.064900,-0.065014,0.065642
8,0.319393,-0.055491,-0.220727,-0.067499
9,0.460572,0.084686,0.048453,-0.011050
10,0.201623,-0.068994,-0.067101,0.108320
11,0.227528,-0.173900,0.092417,-0.066515
12,-0.016927,0.047757,-0.177686,-0.102163
13,-0.052553,-0.065689,0.019328,-0.033060
14,-0.144910,-0.238617,-0.195206,-0.063917
15,-0.024159,-0.338822,0.003581,0.060995
